"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"33aa7d3b-4bef-541c-6df2-db69e752a956","91099ece-1ffc-5720-4ddd-75389964cb29","100020000186","240000","2758.6206896551726","2002-08-25","Epc Domestic","817985.06","9402.13","F","Flat","N","L","F","E09000001","532209.603","181938.747",
"42791af7-09dd-3079-17a7-a84be2917f23","165ff22e-a89d-7805-e7de-ba08434a04d0","95506800","325000","10156.25","2013-11-15","Epc Domestic","555879.69","17371.24","F","Flat","N","L","D","E09000001","532184.701","180785.9255",
"b9a70b4c-8e29-2381-b06e-a16b96b58781","b3519c0d-a0f4-a06d-48e0-9bd909229e1e","95515077","4390000","29266.666666666668","2018-06-29","Epc Domestic","5202759.11","34685.06","F","Flat","Y","L","H","E09000001","533304.562","180576.608",
"3489ed59-de26-7f75-3200-340544011b75","b6e5ae59-afdd-9676-3cda-e90d91818b22","200000075085","115000","2804.878048780488","1997-09-29","Epc Domestic","933163.55","22760.09","F","Flat","N","L","","E09000001","531230.431","181211.494",
"416ae6f6-792d-b6da-e6b6-1fe33912ea55","d57b737b-0539-f274-4fb3-8f999ae6dfcc","200000073005","185000","5441.176470588235","2003-09-08","Epc Domestic","710425.66","20894.87","F","Flat","N","L","D","E09000001","532358.6555","181951.506",
"bcbe9c05-5a7e-b67d-be4f-9f7a5466a112","37647c15-6bd5-9ede-97bf-5bd5ee4f765b","95510787","1075000","9772.727272727272","2010-08-25","Epc Domestic","2270887.87","20644.44","F","Flat","Y","L","G","E09000001","532388.358","181865.999",
"f9c8f739-906d-5bbe-34f5-959c43d98a7e","51bfdc5a-55a3-2b40-99ed-8a502313e6e7","","196650","1695.2586206896551","2017-01-12","Epc Non Domestic","224321.06","1933.8","O","A1/A2 Retail and Financial/Professional services","N","L","","E09000001","532208.9280000001","181244.6085",
"8889b522-a68c-1a7c-fef3-c1bdd29e673e","114965c0-8810-96ef-fe34-0f6d50edb1e1","95500677","187500","3989.3617021276596","2001-06-29","Epc Domestic","722458.53","15371.46","F","Flat","Y","L","E","E09000001","531816.985","181114.135",
"602b2b80-7138-02fb-d5f2-0bb25ab850e0","3c51b77a-2d5e-2ec1-c5ce-05e7d0bea855","200000074459","134000","2233.3333333333335","1996-08-01","Epc Domestic","1095957.85","18265.96","F","Flat","Y","L","E","E09000001","532141.566","181939.821",
"b795bf64-ba03-2a75-8995-0c3cdef37163","b71b10c6-e52c-a698-eec3-123947b647ef","95510819","575000","17968.75","2010-06-30","Epc Domestic","1255438.54","39232.45","F","Flat","Y","L","E","E09000001","532388.358","181865.999",
"2087ca9c-1a50-989b-5384-6c171d5611d6","9daa9cd5-83fc-c75d-cb22-e535b47a461b","200000073680","62000","1512.1951219512196","1995-12-15","Epc Domestic","454118.65","11076.06","F","Flat","N","L","D","E09000001","532125.47","181906.986",
"7ecf5555-bcdb-45d1-2899-676d9988746f","b6e5ae59-afdd-9676-3cda-e90d91818b22","200000075105","640000","16842.105263157893","2015-04-02","Epc Domestic","820789.76","21599.73","F","Flat","N","L","","E09000001","531230.431","181211.494",
"e5ca7339-1ac7-d3eb-c3f1-1d4d8892d2ea","259f167a-2fee-5abc-2afe-503619b03c05","100020001409","163000","4405.405405405405","2002-06-14","Epc Domestic","601352.77","16252.78","F","Flat","N","L","","E09000001","533777.7795","180985.31699999998",
"47d2c791-9679-7b1a-43cf-22df4f2fec3b","10516257-277d-5867-6379-e18f62ee630e","95500642","355000","8255.813953488372","2003-05-30","Epc Domestic","1163773.97","27064.51","F","Flat","N","L","E","E09000001","533516.1655","180875.65899999999",
"723af1cd-6452-ec87-72b2-dac1cd4aea69","78faad8a-6a9a-11f2-8982-ca0ff12d02c1","100020000080","350000","6250","2002-09-06","Epc Domestic","1179889.12","21069.45","F","Flat","N","L","F","E09000001","532060.797","181674.0385",
"434b65d2-69d7-e511-924e-fce842f4ad04","f685e44d-6831-40ee-0007-1bbd348de679","200000071663","192750","5354.166666666667","2009-08-28","Epc Domestic","499565.03","13876.81","F","Flat","N","L","B","E09000001","532146.093","182056.39150000003",
"f7baeb36-eab1-9ca4-00a7-2542b3291f3e","2fa9fdb6-5f78-30f4-8299-4573ba6fdd02","95506869","385000","7549.019607843137","2007-03-14","Epc Domestic","892023.32","17490.65","F","Flat","Y","L","E","E09000001","531388.825","181230.825",
"3e9d0925-e4af-8ab7-08b9-2f0d9df905ed","4cfdfc38-3d58-e16c-bd04-9f73c7c052a6","100020001286","247000","4333.333333333333","2000-06-20","Epc Domestic","1164473.77","20429.36","F","Flat","Y","L","","E09000001","533012.7093333333","180732.99233333333",
"d0798cd0-827c-f236-9358-cd7cfd798b21","165ff22e-a89d-7805-e7de-ba08434a04d0","95506782","611000","11109.09090909091","2015-07-24","Epc Domestic","733388.72","13334.34","F","Flat","N","L","E","E09000001","532184.701","180785.9255",
"bb763532-79d1-3a6f-ba5e-9f1b82cd1141","562b8c7e-ae42-be07-e288-223eb6c03264","200000071935","205000","5256.410256410257","1999-02-18","Epc Domestic","1163742.94","29839.56","F","Flat","Y","L","","E09000001","531829.203","181034.448",
"c2745517-c82c-a7d7-c0d6-c53c1f1bf817","32152c42-a8bd-fadb-d7ee-17c20a5f15ad","95509830","639999","10666.65","2014-03-06","Epc Domestic","914268.49","15237.81","F","Flat","N","L","F","E09000001","532074.934","181896.893",
"bb0acb54-dbc7-813e-3157-b63ea6c803cc","d1a6d4d1-c9cc-3834-aab2-3e1347d5b31e","100020000955","140000","2745.098039215686","1996-10-09","Epc Domestic","1321568.55","25913.11","F","Flat","Y","L","F","E09000001","532055.2815","181489.4545",
"bf02a152-fab0-84e1-6996-7bd18e48b8ad","4cfdfc38-3d58-e16c-bd04-9f73c7c052a6","100020001280","156800","3200","2000-06-07","Epc Domestic","739228.7","15086.3","F","House","Y","L","","E09000001","533012.7093333333","180732.99233333333",
