"GEOGRAPHY_CODE"	"RURAL_URBAN"	"CELL"	"OBS_VALUE"
"E02002398"	"0"	"12"	37
"E02002398"	"0"	"13"	0
"E02002399"	"0"	"7"	118
"E02002399"	"0"	"8"	976
"E02002399"	"0"	"9"	1495
"E02002399"	"0"	"10"	69
"E02002399"	"0"	"11"	33
"E02002399"	"0"	"12"	19
"E02002399"	"0"	"13"	1
"E02002400"	"0"	"7"	114
"E02002400"	"0"	"8"	414
"E02002400"	"0"	"9"	2020
"E02002400"	"0"	"10"	1077
"E02002400"	"0"	"11"	159
"E02002400"	"0"	"12"	61
"E02002400"	"0"	"13"	1
"E02002401"	"0"	"7"	196
"E02002401"	"0"	"8"	1451
"E02002401"	"0"	"9"	493
"E02002401"	"0"	"10"	450
"E02002401"	"0"	"11"	23
"E02002401"	"0"	"12"	10
"E02002401"	"0"	"13"	0
"E02002402"	"0"	"7"	934
"E02002402"	"0"	"8"	852
"E02002402"	"0"	"9"	546
"E02002402"	"0"	"10"	38
"E02002402"	"0"	"11"	49
"E02002402"	"0"	"12"	6
"E02002402"	"0"	"13"	1
"E02002403"	"0"	"7"	383
"E02002403"	"0"	"8"	1371
"E02002403"	"0"	"9"	588
"E02002403"	"0"	"10"	313
"E02002403"	"0"	"11"	24
"E02002403"	"0"	"12"	30
"E02002403"	"0"	"13"	0
"E02002404"	"0"	"7"	107
"E02002404"	"0"	"8"	492
"E02002404"	"0"	"9"	1582
"E02002404"	"0"	"10"	2349
"E02002404"	"0"	"11"	106
"E02002404"	"0"	"12"	26
"E02002404"	"0"	"13"	3
"E02002405"	"0"	"7"	492
"E02002405"	"0"	"8"	1305
"E02002405"	"0"	"9"	1127
"E02002405"	"0"	"10"	335
"E02002405"	"0"	"11"	38
"E02002405"	"0"	"12"	26
"E02002405"	"0"	"13"	3
"E02002406"	"0"	"7"	639
"E02002406"	"0"	"8"	2021
"E02002406"	"0"	"9"	123
"E02002406"	"0"	"10"	52
"E02002406"	"0"	"11"	4
"E02002406"	"0"	"12"	8
"E02002406"	"0"	"13"	38
"E02002407"	"0"	"7"	81
"E02002407"	"0"	"8"	826
"E02002407"	"0"	"9"	1276
"E02002407"	"0"	"10"	646
"E02002407"	"0"	"11"	67
"E02002407"	"0"	"12"	18
"E02002407"	"0"	"13"	0
"E02002408"	"0"	"7"	395
"E02002408"	"0"	"8"	1135
"E02002408"	"0"	"9"	1214
"E02002408"	"0"	"10"	546
"E02002408"	"0"	"11"	36
"E02002408"	"0"	"12"	40
"E02002408"	"0"	"13"	1
"E02002409"	"0"	"7"	335
"E02002409"	"0"	"8"	1292
"E02002409"	"0"	"9"	642
"E02002409"	"0"	"10"	380
"E02002409"	"0"	"11"	13
"E02002409"	"0"	"12"	14
"E02002409"	"0"	"13"	14
"E02002410"	"0"	"7"	297
"E02002410"	"0"	"8"	1091
"E02002410"	"0"	"9"	1065
"E02002410"	"0"	"10"	618
"E02002410"	"0"	"11"	80
"E02002410"	"0"	"12"	7
"E02002410"	"0"	"13"	2
"E02002411"	"0"	"7"	122
"E02002411"	"0"	"8"	393
"E02002411"	"0"	"9"	1793
"E02002411"	"0"	"10"	1328
"E02002411"	"0"	"11"	241
"E02002411"	"0"	"12"	17
"E02002411"	"0"	"13"	0
"E02002412"	"0"	"7"	482
"E02002412"	"0"	"8"	1197
"E02002412"	"0"	"9"	1004
"E02002412"	"0"	"10"	417
"E02002412"	"0"	"11"	31
"E02002412"	"0"	"12"	20
"E02002412"	"0"	"13"	18
"E02002414"	"0"	"7"	134
"E02002414"	"0"	"8"	245
"E02002414"	"0"	"9"	1407
"E02002414"	"0"	"10"	929
"E02002414"	"0"	"11"	148
"E02002414"	"0"	"12"	21
"E02002414"	"0"	"13"	1
"E02002415"	"0"	"7"	115
"E02002415"	"0"	"8"	208
"E02002415"	"0"	"9"	1665
"E02002415"	"0"	"10"	451
"E02002415"	"0"	"11"	497
"E02002415"	"0"	"12"	15
"E02002415"	"0"	"13"	1
"E02002416"	"0"	"7"	610
"E02002416"	"0"	"8"	1666
"E02002416"	"0"	"9"	401
"E02002416"	"0"	"10"	156
"E02002416"	"0"	"11"	14
"E02002416"	"0"	"12"	11
"E02002416"	"0"	"13"	15
"E02002417"	"0"	"7"	750
"E02002417"	"0"	"8"	1039
"E02002417"	"0"	"9"	869
"E02002417"	"0"	"10"	134
"E02002417"	"0"	"11"	15
"E02002417"	"0"	"12"	9
"E02002417"	"0"	"13"	1
"E02002418"	"0"	"7"	468
"E02002418"	"0"	"8"	1808
"E02002418"	"0"	"9"	613
"E02002418"	"0"	"10"	188
"E02002418"	"0"	"11"	18
"E02002418"	"0"	"12"	17
"E02002418"	"0"	"13"	1
"E02002419"	"0"	"7"	188
"E02002419"	"0"	"8"	1024
"E02002419"	"0"	"9"	1465
"E02002419"	"0"	"10"	937
"E02002419"	"0"	"11"	49
"E02002419"	"0"	"12"	24
"E02002419"	"0"	"13"	2
"E02002420"	"0"	"7"	270
"E02002420"	"0"	"8"	1497
"E02002420"	"0"	"9"	1443
"E02002420"	"0"	"10"	118
"E02002420"	"0"	"11"	50
"E02002420"	"0"	"12"	45
"E02002420"	"0"	"13"	3
"E02002421"	"0"	"7"	116
"E02002421"	"0"	"8"	1128
"E02002421"	"0"	"9"	802
"E02002421"	"0"	"10"	577
"E02002421"	"0"	"11"	59
"E02002421"	"0"	"12"	9
"E02002421"	"0"	"13"	1
"E02002422"	"0"	"7"	750
"E02002422"	"0"	"8"	1122
"E02002422"	"0"	"9"	655
"E02002422"	"0"	"10"	159
"E02002422"	"0"	"11"	23
"E02002422"	"0"	"12"	7
"E02002422"	"0"	"13"	2
"E02002423"	"0"	"7"	197
"E02002423"	"0"	"8"	1456
"E02002423"	"0"	"9"	495
"E02002423"	"0"	"10"	349
"E02002423"	"0"	"11"	24
"E02002423"	"0"	"12"	9
"E02002423"	"0"	"13"	0
"E02002424"	"0"	"7"	660
"E02002424"	"0"	"8"	1373
"E02002424"	"0"	"9"	976
"E02002424"	"0"	"10"	303
"E02002424"	"0"	"11"	17
"E02002424"	"0"	"12"	10
"E02002424"	"0"	"13"	1
"E02002425"	"0"	"7"	803
"E02002425"	"0"	"8"	1856
"E02002425"	"0"	"9"	833
"E02002425"	"0"	"10"	253
"E02002425"	"0"	"11"	30
"E02002425"	"0"	"12"	22
"E02002425"	"0"	"13"	4
"E02002426"	"0"	"7"	994
"E02002426"	"0"	"8"	1432
"E02002426"	"0"	"9"	597
"E02002426"	"0"	"10"	216
"E02002426"	"0"	"11"	38
"E02002426"	"0"	"12"	11
"E02002426"	"0"	"13"	1
"E02002427"	"0"	"7"	573
"E02002427"	"0"	"8"	1590
"E02002427"	"0"	"9"	531
"E02002427"	"0"	"10"	358
"E02002427"	"0"	"11"	14
"E02002427"	"0"	"12"	19
"E02002427"	"0"	"13"	0
"E02002428"	"0"	"7"	326
"E02002428"	"0"	"8"	1589
"E02002428"	"0"	"9"	789
"E02002428"	"0"	"10"	479
"E02002428"	"0"	"11"	18
"E02002428"	"0"	"12"	15
"E02002428"	"0"	"13"	1
"E02002429"	"0"	"7"	812
"E02002429"	"0"	"8"	1494
"E02002429"	"0"	"9"	1007
"E02002429"	"0"	"10"	261
"E02002429"	"0"	"11"	12
"E02002429"	"0"	"12"	16
"E02002429"	"0"	"13"	2
"E02002430"	"0"	"7"	127
"E02002430"	"0"	"8"	925
"E02002430"	"0"	"9"	1501
"E02002430"	"0"	"10"	499
"E02002430"	"0"	"11"	31
"E02002430"	"0"	"12"	19
"E02002430"	"0"	"13"	0
"E02002431"	"0"	"7"	589
"E02002431"	"0"	"8"	1333
"E02002431"	"0"	"9"	1200
"E02002431"	"0"	"10"	527
"E02002431"	"0"	"11"	43
"E02002431"	"0"	"12"	15
"E02002431"	"0"	"13"	1
"E02002432"	"0"	"7"	615
"E02002432"	"0"	"8"	1457
"E02002432"	"0"	"9"	816
"E02002432"	"0"	"10"	90
"E02002432"	"0"	"11"	9
"E02002432"	"0"	"12"	14
"E02002432"	"0"	"13"	1
"E02002433"	"0"	"7"	403
"E02002433"	"0"	"8"	691
"E02002433"	"0"	"9"	1137
"E02002433"	"0"	"10"	907
"E02002433"	"0"	"11"	99
"E02002433"	"0"	"12"	87
"E02002433"	"0"	"13"	1
"E02002434"	"0"	"7"	872
"E02002434"	"0"	"8"	1281
"E02002434"	"0"	"9"	1193
"E02002434"	"0"	"10"	273
"E02002434"	"0"	"11"	12
"E02002434"	"0"	"12"	18
"E02002434"	"0"	"13"	1
"E02002435"	"0"	"7"	701
"E02002435"	"0"	"8"	1221
"E02002435"	"0"	"9"	1110
"E02002435"	"0"	"10"	280
"E02002435"	"0"	"11"	53
"E02002435"	"0"	"12"	16
"E02002435"	"0"	"13"	0
"E02002436"	"0"	"7"	634
"E02002436"	"0"	"8"	1309
"E02002436"	"0"	"9"	768
"E02002436"	"0"	"10"	157
"E02002436"	"0"	"11"	13
"E02002436"	"0"	"12"	19
"E02002436"	"0"	"13"	7
"E02002437"	"0"	"7"	1267
"E02002437"	"0"	"8"	872
"E02002437"	"0"	"9"	326
"E02002437"	"0"	"10"	13
"E02002437"	"0"	"11"	14
"E02002437"	"0"	"12"	3
"E02002437"	"0"	"13"	2
"E02006852"	"0"	"7"	562
"E02006852"	"0"	"8"	1697
"E02006852"	"0"	"9"	939
"E02006852"	"0"	"10"	1014
"E02006852"	"0"	"11"	533
"E02006852"	"0"	"12"	49
"E02006852"	"0"	"13"	1
"E02006861"	"0"	"7"	129
"E02006861"	"0"	"8"	475
"E02006861"	"0"	"9"	1451
"E02006861"	"0"	"10"	1002
"E02006861"	"0"	"11"	1003
"E02006861"	"0"	"12"	27
"E02006861"	"0"	"13"	0
"E02006875"	"0"	"7"	17
"E02006875"	"0"	"8"	38
"E02006875"	"0"	"9"	24
"E02006875"	"0"	"10"	3651
"E02006875"	"0"	"11"	112
"E02006875"	"0"	"12"	275
"E02006875"	"0"	"13"	7
"E02006876"	"0"	"7"	150
"E02006876"	"0"	"8"	354
"E02006876"	"0"	"9"	1020
"E02006876"	"0"	"10"	2113
"E02006876"	"0"	"11"	26
"E02006876"	"0"	"12"	20
"E02006876"	"0"	"13"	4
